"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Type.of.Breach","Location.of.Breached.Information","month","year"
"Nationwide Optometry, PC","AZ","Healthcare Provider",73073,"Hacking/IT Incident","Network Server",10,2022
"University of Michigan/Michigan Medicine","MI","Healthcare Provider",33857,"Hacking/IT Incident","Email",10,2022
"Coastal Horizons Center Inc.","NC","Healthcare Provider",679,"Unauthorized Access/Disclosure","Electronic Medical Record",10,2022
"Somnia, Inc.","NY","Healthcare Provider",1326,"Hacking/IT Incident","Network Server",10,2022
"Hendry County Hospital Authority d/b/a Hendry Regional Medical Center","FL","Healthcare Provider",49514,"Hacking/IT Incident","Network Server",10,2022
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services ","IL","Health Plan",480435,"Hacking/IT Incident","Network Server",10,2022
"Phoenix Programs of Florida, Inc.","FL","Healthcare Provider",6594,"Hacking/IT Incident","Email",10,2022
"Dr. Scott B. Klimaj, DMD","RI","Healthcare Provider",1558,"Hacking/IT Incident","Network Server",10,2022
"Wenco Management, LLC Health and Welfare Benefit Plan","OH","Health Plan",20526,"Hacking/IT Incident","Network Server",10,2022
"Pynenberg & Scheske DDS,SC ","WI","Healthcare Provider",2612,"Hacking/IT Incident","Network Server",10,2022
"Sigmund Software, LLC ","CT","Business Associate",983,"Hacking/IT Incident","Network Server",10,2022
"Friend Family Health Center, Inc.","IL","Healthcare Provider",1419,"Hacking/IT Incident","Email",10,2022
"Blue Cross and Blue Shield of Kansas","KS","Health Plan",1308,"Hacking/IT Incident","Network Server",10,2022
"WakeMed Health and Hospitals","NC","Healthcare Provider",495808,"Unauthorized Access/Disclosure","Network Server",10,2022
"Springfield Clinic","IL","Healthcare Provider",802,"Loss","Other Portable Electronic Device",10,2022
"Ascension St. Vincent’s Coastal Cardiology","GA","Healthcare Provider",71227,"Hacking/IT Incident","Network Server",10,2022
"Premier Physical Therapy and Sports Performance, Limited Partnership","DE","Healthcare Provider",982,"Hacking/IT Incident","Email",10,2022
"Sage Counseling Omaha","NE","Healthcare Provider",1359,"Theft","Electronic Medical Record",10,2022
"Defense Health Headquarters","VA","Health Plan",1279,"Hacking/IT Incident","Network Server",10,2022
"Aesthetic Dermatology Associates, PC","PA","Healthcare Provider",33793,"Hacking/IT Incident","Network Server",10,2022
"Lifespire Services, Inc.","NY","Healthcare Provider",15375,"Hacking/IT Incident","Network Server",10,2022
"Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas","TX","Healthcare Provider",1500,"Hacking/IT Incident","Network Server",10,2022
"Urology of Greater Atlanta, LLC","GA","Healthcare Provider",79795,"Hacking/IT Incident","Network Server, Other",10,2022
"Wisconsin Department of Health Services","WI","Health Plan",12358,"Unauthorized Access/Disclosure","Email",10,2022
"Berkshire Farm Center & Services for Youth","NY","Healthcare Provider",951,"Hacking/IT Incident","Email",10,2022
"Valle del Sol, Inc.","AZ","Healthcare Provider",70268,"Hacking/IT Incident","Network Server",10,2022
"Family Medicine Shady Grove LLC","MD","Healthcare Provider",6482,"Hacking/IT Incident","Network Server",10,2022
"Monroe Ear Nose and Throat Associates, PC","MI","Healthcare Provider",14500,"Hacking/IT Incident","Electronic Medical Record, Network Server",9,2022
"Anthem Health Plans of Kentucky, Incorporated","IN","Business Associate",537,"Theft","Other Portable Electronic Device",9,2022
"Smith, Gambrell & Russell, LLP","GA","Business Associate",4688,"Hacking/IT Incident","Network Server",9,2022
"McPherson Hospital, Inc.","KS","Healthcare Provider",19020,"Hacking/IT Incident","Network Server",9,2022
"Extended MLTC","NY","Health Plan",5494,"Hacking/IT Incident","Network Server",9,2022
"FMC Services, LLC","TX","Healthcare Provider",233948,"Hacking/IT Incident","Network Server",9,2022
"Grayling Anesthesia Associates PC","MI","Healthcare Provider",15378,"Hacking/IT Incident","Network Server",9,2022
"Cynthia Paul, M.D., LLC d/b/a The Coeur Group","NE","Healthcare Provider",2020,"Hacking/IT Incident","Email",9,2022
"Physician’s Business Office, Inc.","WV","Business Associate",196673,"Hacking/IT Incident","Network Server",9,2022
"Bloomington Meadows Hospital","IN","Healthcare Provider",788,"Unauthorized Access/Disclosure","Email",9,2022
"UW Medicine","WA","Healthcare Provider",3804,"Hacking/IT Incident","Network Server",9,2022
"Berkshire Farm Center & Services for Youth  ","NY","Healthcare Provider",23058,"Unauthorized Access/Disclosure","Network Server",9,2022
"Landmark Management Services","FL","Healthcare Provider",501,"Hacking/IT Incident","Network Server",9,2022
"Centerstone of Tennessee, Inc.","TN","Healthcare Provider",3675,"Hacking/IT Incident","Email",9,2022
"SERV Behavioral Health Systems, Inc.","NJ","Healthcare Provider",8110,"Hacking/IT Incident","Network Server",9,2022
"FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS","TN","Health Plan",983,"Hacking/IT Incident","Network Server",9,2022
"The Sargent’s Group","PA","Business Associate",1650,"Hacking/IT Incident","Network Server",9,2022
"Medical Associates of the Lehigh Valley","PA","Healthcare Provider",75628,"Hacking/IT Incident","Network Server",9,2022
"Independent Living Systems, LLC","FL","Business Associate",501,"Hacking/IT Incident","Network Server",9,2022
"Narragansett Bay Commission","RI","Healthcare Provider",2153,"Hacking/IT Incident","Network Server",9,2022
"Walgreen Co.","IL","Healthcare Provider",1704,"Theft","Paper/Films",8,2022
"Trinity Health ","MI","Business Associate",5738,"Unauthorized Access/Disclosure","Network Server",8,2022
"Methodist McKinney Hospital","TX","Healthcare Provider",110244,"Hacking/IT Incident","Network Server",8,2022
"Methodist Craig Ranch Surgical Center","TX","Healthcare Provider",15157,"Hacking/IT Incident","Network Server",8,2022
"Farmville Internal Medicine","NC","Healthcare Provider",3000,"Hacking/IT Incident","Electronic Medical Record, Network Server",8,2022
"Community Bridges","NH","Healthcare Provider",10461,"Hacking/IT Incident","Network Server",8,2022
"Warner Norcross and Judd, LLP","MI","Business Associate",255160,"Hacking/IT Incident","Network Server",8,2022
"San Diego American Indian Health Center","CA","Healthcare Provider",27367,"Hacking/IT Incident","Network Server",8,2022
"AdventHealth Medical Group OB GYN at Woodridge","IL","Healthcare Provider",2001,"Loss","Other Portable Electronic Device",8,2022
"Priti Patel Physician PC","NY","Healthcare Provider",6877,"Hacking/IT Incident","Network Server",8,2022
"Valley Baptist Medical Center – Harlingen","TX","Healthcare Provider",11137,"Hacking/IT Incident","Network Server",8,2022
"Valley Baptist Medical Center - Brownsville","TX","Healthcare Provider",7496,"Hacking/IT Incident","Network Server",8,2022
"Specialized Treatment Facility","MS","Healthcare Provider",1059,"Unauthorized Access/Disclosure","Email",8,2022
"Rock County Human Services Department","WI","Healthcare Provider",25610,"Hacking/IT Incident","Email",8,2022
"DataStat, Inc.","MI","Business Associate",1650,"Unauthorized Access/Disclosure","Paper/Films",8,2022
"Maternal and Family Health Services","PA","Healthcare Provider",500,"Hacking/IT Incident","Network Server",8,2022
"Living Innovations","NH","Healthcare Provider",4000,"Hacking/IT Incident","Email",8,2022
"Centerstone of Indiana, Inc.","IN","Healthcare Provider",1700,"Hacking/IT Incident","Email",8,2022
"Independent Case Management, INC.","AR","Healthcare Provider",3307,"Hacking/IT Incident","Network Server",8,2022
"Eventus WholeHealth PLLC","NC","Healthcare Provider",1707,"Hacking/IT Incident","Email",7,2022
"Healthback Holdings, LLC ","OK","Healthcare Provider",21114,"Hacking/IT Incident","Email",7,2022
"Minuteman Senior Services","MA","Healthcare Provider",4000,"Hacking/IT Incident","Email",7,2022
"OneTouchPoint, Inc.","WI","Business Associate",4112892,"Hacking/IT Incident","Network Server",7,2022
"Dr. Manaf Ahmad","TX","Healthcare Provider",3717,"Hacking/IT Incident","Email",7,2022
"Allegheny Heath Network","PA","Healthcare Provider",8071,"Hacking/IT Incident","Email",7,2022
"Lawson Products, Inc.","IL","Health Plan",791,"Hacking/IT Incident","Network Server",7,2022
"Santa Rosa County District Schools","FL","Health Plan",9424,"Unauthorized Access/Disclosure","Network Server",7,2022
"Scott County, Iowa","IA","Business Associate",1583,"Hacking/IT Incident","Email",7,2022
"NuLife Med, LLC","NH","Business Associate",3805,"Hacking/IT Incident","Network Server",7,2022
"Center for Primary Care","GA","Healthcare Provider",2400,"Hacking/IT Incident","Email",7,2022
"City of Newport, Rhode Island","RI","Health Plan",6109,"Hacking/IT Incident","Network Server",7,2022
"Patriot Growth Insurance Services, LLC","PA","Business Associate",4614,"Hacking/IT Incident","Email",7,2022
"Central Maine Medical Center","ME","Healthcare Provider",11938,"Hacking/IT Incident","Network Server",7,2022
"Dow Rummel Village","SD","Healthcare Provider",1079,"Hacking/IT Incident","Email",7,2022
"Zenith American Solutions","WA","Business Associate",37146,"Unauthorized Access/Disclosure","Paper/Films",7,2022
"Goodman Campbell Brain and Spine","IN","Healthcare Provider",362833,"Hacking/IT Incident","Network Server",7,2022
"ProMedica","OH","Healthcare Provider",1178,"Unauthorized Access/Disclosure","Email",7,2022
"Acts Retirement Services, Inc. and Affiliates","PA","Healthcare Provider",2236,"Hacking/IT Incident","Network Server",7,2022
"Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center ","NH","Healthcare Provider",1201,"Loss","Laptop",7,2022
"Washington University School of Medicine","MO","Healthcare Provider",1056,"Hacking/IT Incident","Network Server",7,2022
"Cornerstone Services","IL","Healthcare Provider",2513,"Hacking/IT Incident","Network Server",7,2022
"Wisconsin Department of Health Services","WI","Health Plan",1698,"Hacking/IT Incident","Network Server",7,2022
"Southwest Health Center","WI","Healthcare Provider",46142,"Hacking/IT Incident","Network Server",7,2022
"Carolina Behavioral Health Alliance, LLC","NC","Business Associate",130922,"Hacking/IT Incident","Network Server",7,2022
"CHRISTUS Spohn Health System Corporation","TX","Healthcare Provider",15062,"Hacking/IT Incident","Network Server",7,2022
"Michigan Avenue Immediate Care","IL","Healthcare Provider",144104,"Hacking/IT Incident","Network Server",6,2022
"OrthoWest, PC","NE","Healthcare Provider",1369,"Hacking/IT Incident","Email",6,2022
"Mattax Neu Prater Eye Center, Inc.","MO","Healthcare Provider",92361,"Hacking/IT Incident","Electronic Medical Record",6,2022
"Hudson Regional Hospital","NJ","Healthcare Provider",1300,"Hacking/IT Incident","Network Server",6,2022
"Winslow Memorial Hospital d/b/a Little Colorado Medical Center","AZ","Healthcare Provider",1000,"Hacking/IT Incident","Network Server",6,2022
"ARC Industries Inc. of Franklin County","OH","Healthcare Provider",22011,"Hacking/IT Incident","Network Server",6,2022
"Help at Home ","IL","Healthcare Provider",800,"Improper Disposal","Paper/Films",6,2022
"Tosoh America, Inc.","OH","Health Plan",880,"Hacking/IT Incident","Email",6,2022
"City of Cincinnati Health Plan","OH","Health Plan",9769,"Unauthorized Access/Disclosure","Network Server",6,2022
"Liberty Healthcare Group ","NC","Healthcare Provider",2191,"Hacking/IT Incident","Email",6,2022
"Mason Tenders’ District Council Welfare Fund","NY","Health Plan",13344,"Hacking/IT Incident","Network Server",6,2022
"Baptist Medical Center","TX","Healthcare Provider",1608549,"Hacking/IT Incident","Network Server",6,2022
"Resolute Health Hospital","TX","Healthcare Provider",54239,"Hacking/IT Incident","Network Server",6,2022
"MCG Health, LLC","WA","Business Associate",793283,"Hacking/IT Incident","Network Server",6,2022
"Bayshore Brightwaters Rescue Ambulance, Inc.","NY","Healthcare Provider",679,"Hacking/IT Incident","Email",6,2022
"90 Degree Benefits, Inc.","WI","Business Associate",172450,"Hacking/IT Incident","Network Server",6,2022
"Christiana Spine Center, PA","DE","Healthcare Provider",3500,"Hacking/IT Incident","Network Server",6,2022
"Southern Ohio Medical Center","OH","Healthcare Provider",1333,"Hacking/IT Incident","Network Server",6,2022
"Atrium Health at Home","NC","Healthcare Provider",6695,"Hacking/IT Incident","Email",6,2022
"Memorial Community Health, Inc.","NE","Healthcare Provider",1658,"Hacking/IT Incident","Network Server",6,2022
"Shields Health Care Group, Inc.","MA","Business Associate",2380483,"Hacking/IT Incident","Network Server",5,2022
"University of Chicago Medical Center","IL","Healthcare Provider",2568,"Hacking/IT Incident","Email",5,2022
"BJC Health System","MO","Business Associate",500,"Hacking/IT Incident","Email",5,2022
"NLB Corporation","MI","Health Plan",1943,"Hacking/IT Incident","Network Server",5,2022
"Comstar, LLC","MA","Business Associate",68957,"Hacking/IT Incident","Network Server",5,2022
"Moyes Eye Center, PC","MO","Healthcare Provider",38000,"Hacking/IT Incident","Electronic Medical Record",5,2022
"Family Health Care, Inc","KS","Healthcare Provider",33619,"Hacking/IT Incident","Network Server",5,2022
"Allwell Behavioral Health Services","OH","Healthcare Provider",29972,"Hacking/IT Incident","Network Server",5,2022
"Washington University School of Medicine","MO","Health Plan",500,"Hacking/IT Incident","Email",5,2022
"Alameda Health System","CA","Healthcare Provider",90000,"Hacking/IT Incident","Email",5,2022
"Partnership HealthPlan of California","CA","Health Plan",854913,"Hacking/IT Incident","Network Server",5,2022
"Bryan County Ambulance Authority","OK","Healthcare Provider",14273,"Hacking/IT Incident","Network Server",5,2022
"Northern Rockies Orthopaedics","MT","Healthcare Provider",6701,"Hacking/IT Incident","Email",5,2022
"Apria Healthcare LLC","IN","Healthcare Provider",1868831,"Hacking/IT Incident","Email, Network Server",5,2022
"Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers","CA","Healthcare Provider",34775,"Hacking/IT Incident","Network Server",3,2022
